graph_id,graph_node,connection_data
64,8,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
65,8,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
66,8,"[(0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
67,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
68,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
69,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7)]"
70,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
71,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
72,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7)]"
73,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (6, 7)]"
74,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]"
75,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
76,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
77,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
78,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6)]"
79,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
80,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
81,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
82,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6)]"
83,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
84,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
85,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
86,8,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]"
87,8,"[(0, 5), (0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
88,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
89,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
90,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
91,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
92,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
93,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
94,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (6, 7)]"
95,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7)]"
96,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
97,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7)]"
98,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (6, 7)]"
99,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
100,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
101,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7)]"
102,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (6, 7)]"
103,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
104,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]"
105,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
106,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
107,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
108,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
109,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6)]"
110,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]"
111,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]"
112,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
113,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
114,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
115,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
116,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
117,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7)]"
118,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
119,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
120,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (6, 7)]"
121,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
122,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
123,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
124,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (6, 7)]"
125,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
126,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
127,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
128,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
129,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
130,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
131,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
132,8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
133,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
134,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
135,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
136,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
137,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
138,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
139,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
140,8,"[(0, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
141,8,"[(0, 5), (1, 5), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
142,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
143,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
144,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
145,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7)]"
146,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
147,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
148,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
149,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 7), (6, 7)]"
150,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7)]"
151,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7)]"
152,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 7), (6, 7)]"
153,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7)]"
154,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7)]"
155,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
156,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
157,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
158,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
159,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
160,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 6), (5, 7)]"
161,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
162,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6)]"
163,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7)]"
164,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
165,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6)]"
166,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7)]"
167,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]"
168,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
169,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
170,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
171,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
172,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
173,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
174,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
175,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
176,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
177,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
178,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
179,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (3, 6), (4, 6), (5, 7), (6, 7)]"
180,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6)]"
181,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (6, 7)]"
182,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7)]"
183,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 7), (6, 7)]"
184,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6)]"
185,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (6, 7)]"
186,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7)]"
187,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]"
188,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7)]"
189,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (6, 7)]"
190,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7)]"
191,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]"
192,8,"[(0, 5), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
193,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]"
194,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6)]"
195,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]"
196,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
197,8,"[(0, 5), (0, 7), (1, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
198,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (4, 6), (5, 6), (5, 7), (6, 7)]"
199,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6)]"
200,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (6, 7)]"
201,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7)]"
202,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]"
203,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6)]"
204,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]"
205,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]"
206,8,"[(0, 5), (0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]"
207,8,"[(0, 5), (0, 6), (1, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]"
208,8,"[(0, 5), (0, 6), (1, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7)]"
209,8,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (3, 7), (4, 7)]"
210,8,"[(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (3, 7), (4, 7), (5, 7)]"
